position_id,position_name,date,daily_volume
2,咨询组,2026-07-27,80
2,咨询组,2026-07-28,90
2,咨询组,2026-07-29,100
2,咨询组,2026-07-30,110
2,咨询组,2026-07-31,120
2,咨询组,2026-08-01,130
2,咨询组,2026-08-02,140
2,咨询组,2026-08-03,80
2,咨询组,2026-08-04,90
2,咨询组,2026-08-05,100
2,咨询组,2026-08-06,110
2,咨询组,2026-08-07,120
2,咨询组,2026-08-08,130
2,咨询组,2026-08-09,140
2,咨询组,2026-08-10,80
2,咨询组,2026-08-11,90
2,咨询组,2026-08-12,100
2,咨询组,2026-08-13,110
2,咨询组,2026-08-14,120
2,咨询组,2026-08-15,130
2,咨询组,2026-08-16,140
2,咨询组,2026-08-17,80
2,咨询组,2026-08-18,90
2,咨询组,2026-08-19,100
2,咨询组,2026-08-20,110
2,咨询组,2026-08-21,120
2,咨询组,2026-08-22,130
2,咨询组,2026-08-23,140
2,咨询组,2026-08-24,80
2,咨询组,2026-08-25,90
1,投诉组,2026-07-27,120
1,投诉组,2026-07-28,130
1,投诉组,2026-07-29,140
1,投诉组,2026-07-30,150
1,投诉组,2026-07-31,160
1,投诉组,2026-08-01,170
1,投诉组,2026-08-02,180
1,投诉组,2026-08-03,120
1,投诉组,2026-08-04,130
1,投诉组,2026-08-05,140
1,投诉组,2026-08-06,150
1,投诉组,2026-08-07,160
1,投诉组,2026-08-08,170
1,投诉组,2026-08-09,180
1,投诉组,2026-08-10,120
1,投诉组,2026-08-11,130
1,投诉组,2026-08-12,140
1,投诉组,2026-08-13,150
1,投诉组,2026-08-14,160
1,投诉组,2026-08-15,170
1,投诉组,2026-08-16,180
1,投诉组,2026-08-17,120
1,投诉组,2026-08-18,130
1,投诉组,2026-08-19,140
1,投诉组,2026-08-20,150
1,投诉组,2026-08-21,160
1,投诉组,2026-08-22,170
1,投诉组,2026-08-23,180
1,投诉组,2026-08-24,120
1,投诉组,2026-08-25,130
3,销售组,2026-07-27,60
3,销售组,2026-07-28,70
3,销售组,2026-07-29,80
3,销售组,2026-07-30,90
3,销售组,2026-07-31,100
3,销售组,2026-08-01,110
3,销售组,2026-08-02,120
3,销售组,2026-08-03,60
3,销售组,2026-08-04,70
3,销售组,2026-08-05,80
3,销售组,2026-08-06,90
3,销售组,2026-08-07,100
3,销售组,2026-08-08,110
3,销售组,2026-08-09,120
3,销售组,2026-08-10,60
3,销售组,2026-08-11,70
3,销售组,2026-08-12,80
3,销售组,2026-08-13,90
3,销售组,2026-08-14,100
3,销售组,2026-08-15,110
3,销售组,2026-08-16,120
3,销售组,2026-08-17,60
3,销售组,2026-08-18,70
3,销售组,2026-08-19,80
3,销售组,2026-08-20,90
3,销售组,2026-08-21,100
3,销售组,2026-08-22,110
3,销售组,2026-08-23,120
3,销售组,2026-08-24,60
3,销售组,2026-08-25,70
